"";"Occurrence";"Title";"Date.of.occurrence";"Occurrence.type";"Location.name";"Country";"Report.Type";"Railway.System.type";"Location.type";"Line.type";"Total.fatalities";"Passenger.fatalities";"LC.User.fatalities";"Other.fatalities";"Total.serious.injuries";"Passenger.serious.injuries";"LC.User.serious.injuries";"Unauth..person.serious.injuries";"Other.serious.injuries";"Recs";"Reporting.Body"
"238";"CZ-270";"Other, 21/06/2007, Chotoviny station (Czech Republic)";"21/06/2007";"Other";"Chotoviny station";"Czech Republic";"Final report";"Railway";"Station";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;0;"Rail Safety Inspection Office"
"239";"CZ-2710";"Spad, 8/31/2013, Postrelmov station (Czech Republic)";"31/08/2013";"Spad";"Postrelmov station";"Czech Republic";"Final report";"Railway";"Station";"Multiple track";0;0;0;0;0;0;0;0;0;7;"Rail Safety Inspection Office"
"240";"CZ-2711";"Level crossing accident, 9/12/2013, open line between Jaromerice nad Rokytnou and Kojetice na Morave stations (Czech Republic)";"12/09/2013";"Level crossing accident";"open line between Jaromerice nad Rokytnou and Kojetice na Morave stations";"Czech Republic";"Final report";"Railway";"Line";"Single track";1;0;1;0;0;0;0;0;0;3;"Rail Safety Inspection Office"
"241";"CZ-272";"Trains collision, 14/07/2007, Station: Cercany (Czech Republic)";"14/07/2007";"Trains collision";"Station: Cercany";"Czech Republic";"Final report";"Railway";"Station";"";1;0;0;0;0;0;0;0;0;3;"Rail Safety Inspection Office"
"242";"CZ-273";"Level crossing accident, 07/05/2007, Level crossing near Jablunka station (km 33.243) (Czech Republic)";"07/05/2007";"Level crossing accident";"Level crossing near Jablunka station (km 33.243)";"Czech Republic";"Final report";"Railway";"Line";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;2;"Rail Safety Inspection Office"
"243";"CZ-274";"Train derailment, 02/12/2006, Tramway line along Horni street, between J. Kotase and Hotelovy dum Hlubina stops (Czech Republic)";"02/12/2006";"Train derailment";"Tramway line along Horni street, between J. Kotase and Hotelovy dum Hlubina stops";"Czech Republic";"Final report";"Tramway";"Line";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;0;"Rail Safety Inspection Office"
"244";"CZ-275";"Accident to persons caused by RS in motion, 26/12/2006, Station: Brandys nad Orlici (Czech Republic)";"26/12/2006";"Accident to persons caused by RS in motion";"Station: Brandys nad Orlici";"Czech Republic";"Final report";"Railway";"Station";"";1;1;0;0;0;0;0;0;0;0;"Rail Safety Inspection Office"
"245";"CZ-276";"Train derailment, 17/02/2007, Praha-Vitkov station, switch No. 2 (Czech Republic)";"17/02/2007";"Train derailment";"Praha-Vitkov station, switch No. 2";"Czech Republic";"Final report";"Railway";"Station";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;0;"Rail Safety Inspection Office"
"246";"CZ-277";"Train derailment, 20/02/2007, Between stations Mnisek pod Brdy and Cisovice (Czech Republic)";"20/02/2007";"Train derailment";"Between stations Mnisek pod Brdy and Cisovice";"Czech Republic";"Final report";"Railway";"Line";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;2;"Rail Safety Inspection Office"
"247";"CZ-278";"Train derailment, 06/03/2007, Station: Hranice na Morave mesto (Czech Republic)";"06/03/2007";"Train derailment";"Station: Hranice na Morave mesto";"Czech Republic";"Final report";"Railway";"Line";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;0;"Rail Safety Inspection Office"
"248";"CZ-279";"Trains collision with an obstacle, 18/01/2007, Between stations Dvur Kralove and Bila Tremesna (Czech Republic)";"18/01/2007";"Trains collision with an obstacle";"Between stations Dvur Kralove and Bila Tremesna";"Czech Republic";"Final report";"Railway";"Line";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;6;"Rail Safety Inspection Office"
"249";"CZ-281";"Trains collision, 18/06/2006, Station: Nymburk hlavni nadrazi (Czech Republic)";"18/06/2006";"Trains collision";"Station: Nymburk hlavni nadrazi";"Czech Republic";"Final report";"Railway";"Station";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;0;"Rail Safety Inspection Office"
"250";"CZ-282";"Level crossing accident, 03/10/2006, Level crossing in km 89,164 between stations Krnov and Skrochovice (Czech Republic)";"03/10/2006";"Level crossing accident";"Level crossing in km 89,164 between stations Krnov and Skrochovice";"Czech Republic";"Final report";"Railway";"Line";"";2;0;2;0;0;0;0;0;0;0;"Rail Safety Inspection Office"
"251";"CZ-2820";"Train derailment, 02/10/2013, Prerov station (Czech Republic)";"02/10/2013";"Train derailment";"Prerov station";"Czech Republic";"Notification";"Railway";"Station";"Multiple track";0;0;0;0;0;0;0;0;0;0;"Rail Safety Inspection Office"
"252";"CZ-283";"Level crossing accident, 09/10/2006, Passive level crossing in km 15.590 between stations Sumperk and Petrov nad Desnou (Czech Republic)";"09/10/2006";"Level crossing accident";"Passive level crossing in km 15.590 between stations Sumperk and Petrov nad Desnou";"Czech Republic";"Final report";"Railway";"Line";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;0;"Rail Safety Inspection Office"
"253";"CZ-284";"Level crossing accident, 06/11/2006, Active level crossing in km 112.545 between Dobra and Frydek-Mistek stations (Czech Republic)";"06/11/2006";"Level crossing accident";"Active level crossing in km 112.545 between Dobra and Frydek-Mistek stations";"Czech Republic";"Final report";"Railway";"Line";"";1;0;1;0;0;0;0;0;0;0;"Rail Safety Inspection Office"
"254";"CZ-2892";"Accident to persons caused by RS in motion, 11/10/2013, Karlov pod Jestedem station (Czech Republic)";"11/10/2013";"Accident to persons caused by RS in motion";"Karlov pod Jestedem station";"Czech Republic";"Notification";"Railway";"Station";"Multiple track";1;0;0;1;0;0;0;0;0;0;"Rail Safety Inspection Office"
"255";"CZ-320";"Trains collision, 01/09/2007, Single track of regional line between stations Bavorov and Vodnany (km 9.915) (Czech Republic)";"01/09/2007";"Trains collision";"Single track of regional line between stations Bavorov and Vodnany (km 9.915)";"Czech Republic";"Final report";"Railway";"Line";"";0;0;0;0;7;7;0;0;0;1;"Rail Safety Inspection Office"
"256";"CZ-321";"Other, 01/09/2007, Single track regional line between stations Tabor and Slapy (Czech Republic)";"01/09/2007";"Other";"Single track regional line between stations Tabor and Slapy";"Czech Republic";"Final report";"Railway";"Line";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;0;"Rail Safety Inspection Office"
"257";"CZ-3341";"Spad, 04/02/2014, Lipa station (Czech Republic)";"04/02/2014";"Spad";"Lipa station";"Czech Republic";"Notification";"Railway";"Station";"Multiple track";0;0;0;0;0;0;0;0;0;0;"Rail Safety Inspection Office"
"258";"CZ-3342";"Accident to persons caused by RS in motion, 20/12/2013, Vsetin station (Czech Republic)";"20/12/2013";"Accident to persons caused by RS in motion";"Vsetin station";"Czech Republic";"Notification";"Railway";"Siding";"Multiple track";0;0;0;0;1;0;0;0;0;0;"Rail Safety Inspection Office"
"259";"CZ-3343";"Train derailment, 03/11/2013, Brno - Malomerice station (Czech Republic)";"03/11/2013";"Train derailment";"Brno - Malomerice station";"Czech Republic";"Notification";"Railway";"Marshalling yard";"Multiple track";0;0;0;0;0;0;0;0;0;0;"Rail Safety Inspection Office"
"260";"CZ-3344";"Trains collision with an obstacle, 04/02/2014, Open line between Jindrichov ve Slezsku statni hranice and Jindrichov ve Slezsku stations (Czech Republic)";"04/02/2014";"Trains collision with an obstacle";"Open line between Jindrichov ve Slezsku statni hranice and Jindrichov ve Slezsku stations";"Czech Republic";"Notification";"Railway";"Line";"Single track";0;0;0;0;0;0;0;0;0;0;"Rail Safety Inspection Office"
"261";"CZ-3387";"Accident to persons caused by RS in motion, 2014-01-10, Tram track between Palmovka - Palmovka metro stops (Czech Republic)";"10/01/2014";"Accident to persons caused by RS in motion";"Tram track between Palmovka - Palmovka metro stops";"Czech Republic";"Notification";"Tramway";"Line";"Single track";0;0;0;0;1;1;0;0;0;0;"Rail Safety Inspection Office"
"262";"CZ-3394";"Train derailment, 3/7/2014, Brno hlavni nadrazi station (Czech Republic)";"07/03/2014";"Train derailment";"Brno hlavni nadrazi station";"Czech Republic";"Notification";"Railway";"Station";"Multiple track";0;0;0;0;0;0;0;0;0;0;"Rail Safety Inspection Office"
"263";"CZ-3429";"Trains collision, 3/10/2014, The City of Ostrava, Nova Hut (Czech Republic)";"10/03/2014";"Trains collision";"The City of Ostrava, Nova Hut";"Czech Republic";"Notification";"Tramway";"Station";"Single track";0;0;0;0;0;0;0;0;0;0;"Rail Safety Inspection Office"
"264";"CZ-3510";"Spad, 3/28/2014, Praha hlavni nadrazi station (Czech Republic)";"28/03/2014";"Spad";"Praha hlavni nadrazi station";"Czech Republic";"Notification";"Railway";"Station";"Multiple track";0;0;0;0;0;0;0;0;0;0;"Rail Safety Inspection Office"
"265";"CZ-353";"Trains collision with an obstacle, 20/09/2007, track No. 2, km 16.705 (Czech Republic)";"20/09/2007";"Trains collision with an obstacle";"track No. 2, km 16.705";"Czech Republic";"Final report";"Railway";"Line";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;2;"Rail Safety Inspection Office"
"266";"CZ-354";"Level crossing accident, 21/09/2007, Level crossing between Jaromerice nad Rokytnou and Moravske Budejovice stations, km 140.285, level crossing without signalling (traffic sign only) (Czech Republic)";"21/09/2007";"Level crossing accident";"Level crossing between Jaromerice nad Rokytnou and Moravske Budejovice stations, km 140.285, level crossing without signalling (traffic sign only)";"Czech Republic";"Final report";"Railway";"Line";"";2;0;2;0;0;0;0;0;0;2;"Rail Safety Inspection Office"
"267";"CZ-3543";"Level crossing accident, 15.3.2014, Open line between Cervenka - Moravicany stations (Czech Republic)";"15/03/2014";"Level crossing accident";"Open line between Cervenka - Moravicany stations";"Czech Republic";"Notification";"Railway";"Line";"Double track";0;0;0;0;0;0;0;0;0;0;"Rail Safety Inspection Office"
"268";"CZ-355";"Other, 10/09/2007, Praha-Branik station (Czech Republic)";"10/09/2007";"Other";"Praha-Branik station";"Czech Republic";"Final report";"Railway";"Station";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;0;"Rail Safety Inspection Office"
"269";"CZ-3572";"Level crossing accident, 24.3.2014, Open line between Rozsochatec and Chotebor stations (Czech Republic)";"24/03/2014";"Level crossing accident";"Open line between Rozsochatec and Chotebor stations";"Czech Republic";"Notification";"Railway";"Line";"Single track";1;0;1;0;0;0;0;0;0;0;"Rail Safety Inspection Office"
"270";"CZ-385";"Level crossing accident, 02/10/2007, Between stations Varnsdorf and Seifhennersdorf (Czech Republic)";"02/10/2007";"Level crossing accident";"Between stations Varnsdorf and Seifhennersdorf";"Czech Republic";"Final report";"Railway";"Line";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;0;"Rail Safety Inspection Office"
"271";"CZ-386";"Level crossing accident, 30/10/2007, Between stations Domasov nad Bystrici and Moravsky Beroun (Czech Republic)";"30/10/2007";"Level crossing accident";"Between stations Domasov nad Bystrici and Moravsky Beroun";"Czech Republic";"Final report";"Railway";"Line";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;1;"Rail Safety Inspection Office"
"272";"CZ-395";"Train derailment, 19/11/2007, Station: Lestina u Svetle, switches 1 and 3 (Czech Republic)";"19/11/2007";"Train derailment";"Station: Lestina u Svetle, switches 1 and 3";"Czech Republic";"Final report";"Railway";"Station";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;0;"Rail Safety Inspection Office"
"273";"CZ-406";"Train derailment, 27/11/2007, Station Bystrice nad Olsi, points No. 15 (Czech Republic)";"27/11/2007";"Train derailment";"Station Bystrice nad Olsi, points No. 15";"Czech Republic";"Final report";"Railway";"Station";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;2;"Rail Safety Inspection Office"
"274";"CZ-407";"Train derailment, 01/12/2007, Open line between odbocka Kyje and Praha-Bechovice (Czech Republic)";"01/12/2007";"Train derailment";"Open line between odbocka Kyje and Praha-Bechovice";"Czech Republic";"Final report";"Railway";"Line";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;4;"Rail Safety Inspection Office"
"275";"CZ-408";"Train derailment, 06/12/2007, Station Ostrava-Kuncice, points No. 89 (Czech Republic)";"06/12/2007";"Train derailment";"Station Ostrava-Kuncice, points No. 89";"Czech Republic";"Final report";"Railway";"Station";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;1;"Rail Safety Inspection Office"
"276";"CZ-439";"Trains collision, 09/01/2008, Nymburk hl. n. station, track No. 26 (Czech Republic)";"09/01/2008";"Trains collision";"Nymburk hl. n. station, track No. 26";"Czech Republic";"Final report";"Railway";"Station";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;0;"Rail Safety Inspection Office"
"277";"CZ-440";"Train derailment, 22/02/2008, Open line between Zabreh na Morave and Lukavice stations (Czech Republic)";"22/02/2008";"Train derailment";"Open line between Zabreh na Morave and Lukavice stations";"Czech Republic";"Final report";"Railway";"Line";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;0;"Rail Safety Inspection Office"
"278";"CZ-447";"Trains collision with an obstacle, 23/01/2008, Switch No. 5 (Czech Republic)";"23/01/2008";"Trains collision with an obstacle";"Switch No. 5";"Czech Republic";"Final report";"Railway";"Station";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;2;"Rail Safety Inspection Office"
"279";"CZ-453";"Trains collision, 11/04/2008, Single-track tramway line between Poruba koupaliste and Vresina tram-stops (Czech Republic)";"11/04/2008";"Trains collision";"Single-track tramway line between Poruba koupaliste and Vresina tram-stops";"Czech Republic";"Final report";"Tramway";"Line";"";3;3;0;0;11;11;0;0;0;6;"Rail Safety Inspection Office"
"280";"CZ-461";"Trains collision, 10/04/2008, Palackeho - Hudcova crossing (Czech Republic)";"10/04/2008";"Trains collision";"Palackeho - Hudcova crossing";"Czech Republic";"Final report";"Tramway";"Other";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;2;"Rail Safety Inspection Office"
"281";"CZ-462";"Level crossing accident, 14/05/2008, Active level crossing (equipped with warning lights), km 11.006, between Neratovice and Uzice stations (Czech Republic)";"14/05/2008";"Level crossing accident";"Active level crossing (equipped with warning lights), km 11.006, between Neratovice and Uzice stations";"Czech Republic";"Final report";"Railway";"Line";"";0;0;0;0;1;0;0;0;0;0;"Rail Safety Inspection Office"
"282";"CZ-479";"Trains collision, 19/05/2008, Moravany station, track No. 1 (Czech Republic)";"19/05/2008";"Trains collision";"Moravany station, track No. 1";"Czech Republic";"Final report";"Railway";"Station";"";1;0;0;0;0;0;0;0;0;7;"Rail Safety Inspection Office"
"283";"CZ-517";"Accident to persons caused by RS in motion, 02/06/2008, Olomouc, tram stop ""Wolkerova"" and consequent tram track (Czech Republic)";"02/06/2008";"Accident to persons caused by RS in motion";"Olomouc, tram stop ""Wolkerova"" and consequent tram track";"Czech Republic";"Final report";"Tramway";"Other";"";0;0;0;0;1;1;0;0;0;5;"Rail Safety Inspection Office"
"284";"CZ-518";"Train derailment, 06/06/2008, Celakovice station, switch No. 22 (Czech Republic)";"06/06/2008";"Train derailment";"Celakovice station, switch No. 22";"Czech Republic";"Final report";"Railway";"Station";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;0;"Rail Safety Inspection Office"
"285";"CZ-520";"Trains collision with an obstacle, 08/08/2008, Studenka station, track No. 101, km 243,576 (Czech Republic)";"08/08/2008";"Trains collision with an obstacle";"Studenka station, track No. 101, km 243,576";"Czech Republic";"Final report";"Railway";"Station";"";7;7;0;0;88;84;0;0;0;5;"Rail Safety Inspection Office"
"286";"CZ-567";"Fire in RS, 30/07/2008, open line between Pnovany and Vranov u Stribra stations, km 374,100 (Czech Republic)";"30/07/2008";"Fire in RS";"open line between Pnovany and Vranov u Stribra stations, km 374,100";"Czech Republic";"Final report";"Railway";"Line";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;3;"Rail Safety Inspection Office"
"287";"CZ-568";"Trains collision, 13/09/2008, Open line between Mohelnice and Moravicany stations, km 54,397 (Czech Republic)";"13/09/2008";"Trains collision";"Open line between Mohelnice and Moravicany stations, km 54,397";"Czech Republic";"Final report";"Railway";"Line";"";1;0;0;0;0;0;0;0;0;0;"Rail Safety Inspection Office"
"288";"CZ-610";"Level crossing accident, 12/01/2007, Active level crossing on ""UNEX a.s. Unicov"" siding, km 0,179 (Czech Republic)";"12/01/2007";"Level crossing accident";"Active level crossing on ""UNEX a.s. Unicov"" siding, km 0,179";"Czech Republic";"Final report";"Railway";"Other";"";0;0;0;0;1;0;1;0;0;0;"Rail Safety Inspection Office"
"289";"CZ-611";"Level crossing accident, 25/01/2007, Passive level crossing on ""Pivovar RADEGAST"" siding, km 0.683 (Czech Republic)";"25/01/2007";"Level crossing accident";"Passive level crossing on ""Pivovar RADEGAST"" siding, km 0.683";"Czech Republic";"Final report";"Railway";"Other";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;0;"Rail Safety Inspection Office"
"290";"CZ-612";"Trains collision, 10/11/2008, Open line between Hlinsko v Cechach and Zdirec nad Doubravou stations (Czech Republic)";"10/11/2008";"Trains collision";"Open line between Hlinsko v Cechach and Zdirec nad Doubravou stations";"Czech Republic";"Final report";"Railway";"Line";"";0;0;0;0;4;4;0;0;0;1;"Rail Safety Inspection Office"
"291";"CZ-620";"Level crossing accident, 23/11/2008, Passive level crossing (traffic sign only) between Horni Lipova and Ramzova stations, km 20,285 (Czech Republic)";"23/11/2008";"Level crossing accident";"Passive level crossing (traffic sign only) between Horni Lipova and Ramzova stations, km 20,285";"Czech Republic";"Final report";"Railway";"Line";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;2;"Rail Safety Inspection Office"
"292";"CZ-634";"Level crossing accident, 12/12/2008, Active level crossing (equipped with warning lights), km 343.109, between Lysa nad Labem-Dvorce and Otradovice stations (Czech Republic)";"12/12/2008";"Level crossing accident";"Active level crossing (equipped with warning lights), km 343.109, between Lysa nad Labem-Dvorce and Otradovice stations";"Czech Republic";"Final report";"Railway";"Line";"";0;0;0;0;1;0;1;0;0;0;"Rail Safety Inspection Office"
"293";"CZ-635";"Level crossing accident, 17/12/2008, Passive level crossing (traffic signs only), km 4.981 between Opava Vychod and Hradec nad Moravici Stations (Czech Republic)";"17/12/2008";"Level crossing accident";"Passive level crossing (traffic signs only), km 4.981 between Opava Vychod and Hradec nad Moravici Stations";"Czech Republic";"Final report";"Railway";"Line";"";0;0;0;0;3;3;0;0;0;3;"Rail Safety Inspection Office"
"294";"CZ-639";"Level crossing accident, 08/01/2009, Active level crossing (equipped with warning lights), km 222.975, between Hluboka nad Vltavou and Zliv stations (Czech Republic)";"08/01/2009";"Level crossing accident";"Active level crossing (equipped with warning lights), km 222.975, between Hluboka nad Vltavou and Zliv stations";"Czech Republic";"Final report";"Railway";"Line";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;2;"Rail Safety Inspection Office"
"295";"CZ-642";"Trains collision, 16/02/2009, Open main line between Paskov and Vratimov stations. Single track line. (Czech Republic)";"16/02/2009";"Trains collision";"Open main line between Paskov and Vratimov stations. Single track line.";"Czech Republic";"Final report";"Railway";"Line";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;4;"Rail Safety Inspection Office"
"296";"CZ-733";"Train derailment, 01/04/2009, Brno hl. n. station, switch No. 29 (Czech Republic)";"01/04/2009";"Train derailment";"Brno hl. n. station, switch No. 29";"Czech Republic";"Final report";"Railway";"Station";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;1;"Rail Safety Inspection Office"
"297";"CZ-734";"Train derailment, 24/04/2009, Cercany station, km 144,478 (Czech Republic)";"24/04/2009";"Train derailment";"Cercany station, km 144,478";"Czech Republic";"Final report";"Railway";"Station";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;1;"Rail Safety Inspection Office"
"298";"CZ-736";"Train derailment, 22/06/2009, Olomouc main station, crossover between switches No. 9 and 13, km 205,238 (Czech Republic)";"22/06/2009";"Train derailment";"Olomouc main station, crossover between switches No. 9 and 13, km 205,238";"Czech Republic";"Final report";"Railway";"Station";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;2;"Rail Safety Inspection Office"
"299";"CZ-759";"Trains collision, 23/06/2009, Brno station, shunting area ""B"", track No. 512 (Czech Republic)";"23/06/2009";"Trains collision";"Brno station, shunting area ""B"", track No. 512";"Czech Republic";"Final report";"Railway";"Station";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;5;"Rail Safety Inspection Office"
"300";"CZ-760";"Spad, 27/06/2009, Rajec-Jestrebi station, track No. 2 (Czech Republic)";"27/06/2009";"Spad";"Rajec-Jestrebi station, track No. 2";"Czech Republic";"Final report";"Railway";"Station";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;0;"Rail Safety Inspection Office"
"301";"CZ-761";"Level crossing accident, 01/07/2009, Passive level crossing (protected with traffic sign only) in km 2.067 between Hodonin-statni hranice and Holic nad Moravou (Slovak Republic) stations (Czech Republic)";"01/07/2009";"Level crossing accident";"Passive level crossing (protected with traffic sign only) in km 2.067 between Hodonin-statni hranice and Holic nad Moravou (Slovak Republic) stations";"Czech Republic";"Final report";"Railway";"Line";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;0;"Rail Safety Inspection Office"
"302";"CZ-762";"Other, 17/08/2009, Brno, between Porici and Nemocnice Milosrdnych bratri tram stops (Czech Republic)";"17/08/2009";"Other";"Brno, between Porici and Nemocnice Milosrdnych bratri tram stops";"Czech Republic";"Final report";"Tramway";"Other";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;3;"Rail Safety Inspection Office"
"303";"CZ-763";"Trains collision, 01/09/2009, Open line between Horni Lipova and Lipova Lazne stations (Czech Republic)";"01/09/2009";"Trains collision";"Open line between Horni Lipova and Lipova Lazne stations";"Czech Republic";"Final report";"Railway";"Line";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;3;"Rail Safety Inspection Office"
"304";"CZ-787";"Level crossing accident, 15/09/2009, Active level crossing (equipped with warning lights) in km 79.532 in Omlenice stations (Czech Republic)";"15/09/2009";"Level crossing accident";"Active level crossing (equipped with warning lights) in km 79.532 in Omlenice stations";"Czech Republic";"Final report";"Railway";"Line";"";1;0;1;0;0;0;0;0;0;0;"Rail Safety Inspection Office"
"305";"CZ-792";"Trains collision, 16/10/2009, Prerov station, track No. 402a, km 181,338 (Czech Republic)";"16/10/2009";"Trains collision";"Prerov station, track No. 402a, km 181,338";"Czech Republic";"Final report";"Railway";"Station";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;4;"Rail Safety Inspection Office"
"306";"CZ-793";"Train derailment, 03/09/2009, Siding Vlecka Tonaso a. s. (between Ústi nad Labem sever and Povrly stations), km 0,091, track No. 48a (Czech Republic)";"03/09/2009";"Train derailment";"Siding Vlecka Tonaso a. s. (between Ústi nad Labem sever and Povrly stations), km 0,091, track No. 48a";"Czech Republic";"Final report";"Railway";"Other";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;0;"Rail Safety Inspection Office"
"307";"CZ-824";"Train derailment, 28/11/2009, Kolin station, switch No. 177, km 348.097 (Czech Republic)";"28/11/2009";"Train derailment";"Kolin station, switch No. 177, km 348.097";"Czech Republic";"Final report";"Railway";"Station";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;0;"Rail Safety Inspection Office"
"308";"CZ-825";"Trains collision, 16/05/2009, Ceska Trebova station, marshalling yard, track No. 233 (Czech Republic)";"16/05/2009";"Trains collision";"Ceska Trebova station, marshalling yard, track No. 233";"Czech Republic";"Final report";"Railway";"Marshalling yard";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;1;"Rail Safety Inspection Office"
"309";"CZ-826";"Level crossing accident, 10/11/2009, Passive level crossing in km 0.070 at Kamenolom Zarubka siding (near Zdarec u Skutce station) (Czech Republic)";"10/11/2009";"Level crossing accident";"Passive level crossing in km 0.070 at Kamenolom Zarubka siding (near Zdarec u Skutce station)";"Czech Republic";"Final report";"Railway";"Other";"";1;0;1;0;0;0;0;0;0;0;"Rail Safety Inspection Office"
"310";"CZ-863";"Train derailment, 21/01/2010, Open line between Prerov and Prosenice stations, km 186,780 (Czech Republic)";"21/01/2010";"Train derailment";"Open line between Prerov and Prosenice stations, km 186,780";"Czech Republic";"Final report";"Railway";"Line";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;0;"Rail Safety Inspection Office"
"311";"CZ-864";"Level crossing accident, 29/01/2010, Active level crossing (equipped with warning lights) in km 1.556, in Kolin station (Czech Republic)";"29/01/2010";"Level crossing accident";"Active level crossing (equipped with warning lights) in km 1.556, in Kolin station";"Czech Republic";"Final report";"Railway";"Station";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;0;"Rail Safety Inspection Office"
"312";"CZ-877";"Train derailment, 09/03/2010, Open line between Prackovice nad Labem and Lovosice stations, km 497,599 (Czech Republic)";"09/03/2010";"Train derailment";"Open line between Prackovice nad Labem and Lovosice stations, km 497,599";"Czech Republic";"Final report";"Railway";"Line";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;0;"Rail Safety Inspection Office"
"313";"CZ-892";"Train derailment, 01/07/2009, Open line between Strancice and Senohraby stations (Czech Republic)";"01/07/2009";"Train derailment";"Open line between Strancice and Senohraby stations";"Czech Republic";"Final report";"Railway";"Line";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;2;"Rail Safety Inspection Office"
"314";"CZ-893";"Accident to persons caused by RS in motion, 07/03/2010, Ostrava main station, platform No. 5 + station track No. 804 (Czech Republic)";"07/03/2010";"Accident to persons caused by RS in motion";"Ostrava main station, platform No. 5 + station track No. 804";"Czech Republic";"Final report";"Railway";"Station";"";0;0;0;0;1;1;0;0;0;7;"Rail Safety Inspection Office"
"315";"CZ-902";"Trains collision, 16/04/2010, Golcuv Jenikov station, switch No. 5 and 3, km 266,787 (Czech Republic)";"16/04/2010";"Trains collision";"Golcuv Jenikov station, switch No. 5 and 3, km 266,787";"Czech Republic";"Final report";"Railway";"Station";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;3;"Rail Safety Inspection Office"
"316";"CZ-943";"Level crossing accident, 29/05/2010, Passive level crossing (traffic sign only), level crossing in km 3,835 between Cervena Voda and Kraliky stations (Czech Republic)";"29/05/2010";"Level crossing accident";"Passive level crossing (traffic sign only), level crossing in km 3,835 between Cervena Voda and Kraliky stations";"Czech Republic";"Final report";"Railway";"Line";"";1;0;1;0;1;0;1;0;0;4;"Rail Safety Inspection Office"
"317";"CZ-947";"Train derailment, 28/06/2010, Station Usti nad Labem - obvod jih. Switch No.103/105, km 514,908 (Czech Republic)";"28/06/2010";"Train derailment";"Station Usti nad Labem - obvod jih. Switch No.103/105, km 514,908";"Czech Republic";"Final report";"Railway";"Station";"";1;0;0;0;9;8;0;0;0;3;"Rail Safety Inspection Office"
"318";"CZ-949";"Trains collision, 03/07/2010, Station Olomouc main station, switch No. 9, km 205,248 (Czech Republic)";"03/07/2010";"Trains collision";"Station Olomouc main station, switch No. 9, km 205,248";"Czech Republic";"Final report";"Railway";"Station";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;0;"Rail Safety Inspection Office"
"319";"CZ-961";"Other, 11/03/2010, open line between Brodek u Prerova and Dluhonice stations; km 191.000 (Czech Republic)";"11/03/2010";"Other";"open line between Brodek u Prerova and Dluhonice stations; km 191.000";"Czech Republic";"Final report";"Railway";"Line";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;3;"Rail Safety Inspection Office"
"320";"CZ-97";"Trains collision, 09/02/2007, Station: Karanice (Czech Republic)";"09/02/2007";"Trains collision";"Station: Karanice";"Czech Republic";"Final report";"Railway";"Station";"";0;0;0;0;1;0;0;0;0;0;"Rail Safety Inspection Office"
